,FT,OT1/OT2,LTQ,ETD,TSQA,TSQV
hrs,total,total,total,total,total,total
1,40,40,30,34,14,24
2,80,80,60,68,28,48
3,120,120,90,102,42,72
4,140,140,100,120,50,80
5,180,180,130,154,64,104
6,220,220,160,188,78,120
7,240,240,160,200,90,120
8,240,240,160,200,90,120
9,280,280,190,234,104,144
10,320,320,220,268,118,168
11,360,360,240,300,132,180
12,360,360,240,300,140,180
13,360,360,240,300,140,180
14,360,360,240,300,140,180
15,360,360,240,300,140,180
16,360,360,240,300,140,180
17,400,400,270,334,154,204
18,440,440,300,368,168,228
19,480,480,330,402,182,252
20,520,520,360,436,196,270
21,540,540,360,450,210,270
22,540,540,360,450,210,270
23,540,540,360,450,210,270
24,540,540,360,450,210,270
